YEAR,MONTH,CASERNE,MEDIAN_NOMBRE_UNITES,FIRE_COUNT,AREA_SQ_KM,FIRE_COUNT_SQ_KM,LOG_MEDIAN_NOMBRE_UNITES,LOG_FIRE_COUNT_SQ_KM,SEVERITY_RISK,FREQUENCY_RISK
2005,5,25,1.0,3,2.99,1.0,0.0,0.6931471805599453,0.0,23.0
2005,5,26,5.0,6,1.99,3.02,1.6094379124341003,1.3912819026309295,37.0,47.0
2005,5,27,2.5,10,6.64,1.51,0.9162907318741551,0.9202827531436925,21.0,31.0
2005,5,28,1.0,10,13.87,0.72,0.0,0.5423242908253617,0.0,17.0
2005,5,29,1.0,10,4.06,2.46,0.0,1.2412685890696329,0.0,42.0
2005,5,30,4.0,11,3.44,3.2,1.3862943611198906,1.4350845252893227,32.0,48.0
2005,5,31,1.0,5,2.01,2.49,0.0,1.2499017362143359,0.0,42.0
2005,5,33,1.0,12,5.14,2.33,0.0,1.2029723039923526,0.0,40.0
2005,5,34,1.0,14,4.04,3.47,0.0,1.4973884086254776,0.0,51.0
2005,5,35,2.0,10,3.08,3.25,0.6931471805599453,1.4469189829363254,16.0,49.0
2005,5,37,1.0,10,4.69,2.13,0.0,1.1410330045520618,0.0,38.0
2005,5,38,1.0,19,20.3,0.94,0.0,0.6626879730752367,0.0,22.0
2005,5,39,4.5,10,8.68,1.15,1.5040773967762742,0.7654678421395714,34.0,25.0
2005,5,40,1.0,25,8.98,2.78,0.0,1.3297240096314962,0.0,45.0
2005,5,41,3.5,10,2.48,4.03,1.252762968495368,1.6154199841116479,28.999999999999996,55.00000000000001
2005,5,42,2.5,8,10.29,0.78,0.9162907318741551,0.5766133643039938,21.0,19.0
2005,5,43,1.0,5,5.11,0.98,0.0,0.6830968447064438,0.0,22.0
2005,5,44,1.0,11,13.98,0.79,0.0,0.5822156198526637,0.0,19.0
2005,5,45,5.0,5,3.99,1.25,1.6094379124341003,0.8109302162163288,37.0,27.0
2005,5,46,4.5,6,5.32,1.13,1.5040773967762742,0.7561219797213337,34.0,25.0
2005,5,47,5.0,5,3.71,1.35,1.6094379124341003,0.8544153281560676,37.0,28.000000000000004
2005,5,48,1.0,7,2.28,3.07,0.0,1.4036429994545037,0.0,47.0
2005,5,49,4.5,8,7.05,1.13,1.5040773967762742,0.7561219797213337,34.0,25.0
2005,5,50,1.0,8,6.11,1.31,0.0,0.8372475245337022,0.0,28.000000000000004
2005,5,51,1.0,8,17.84,0.45,0.0,0.371563556432483,0.0,12.0
2005,5,52,1.0,1,6.04,0.17,0.0,0.1570037488096647,0.0,4.0
2005,5,53,1.0,9,10.99,0.82,0.0,0.5988365010887039,0.0,19.0
2005,5,54,1.0,13,9.67,1.34,0.0,0.85015092936961,0.0,28.000000000000004
2005,5,55,1.0,10,18.93,0.53,0.0,0.4252677354043441,0.0,13.0
2005,5,57,1.0,14,12.81,1.09,0.0,0.7371640659767196,0.0,24.0
2005,5,58,1.0,1,2.28,0.44,0.0,0.36464311358790924,0.0,11.0
2005,5,61,1.0,12,15.06,0.8,0.0,0.5877866649021191,0.0,19.0
2005,5,63,1.0,9,16.54,0.54,0.0,0.43178241642553783,0.0,14.000000000000002
2005,5,64,2.0,17,17.88,0.95,0.6931471805599453,0.6678293725756554,16.0,22.0
