INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES,DESC_GROUP_ENGLISH
1782,2005-01-15,10-22 avec feu,Incendies de bâtiments,63,Dorval,Dorval / Ile Dorval,13,45.4477036819398,-73.757106440783,3.0,Building fire
1793,2005-01-15,Feu / 2e Alerte,Incendies de bâtiments,15,Montréal,Sud-Ouest,15,45.4767654490864,-73.5617814263909,42.0,Building fire
1811,2005-01-15,Acc. victime feu ext.,Autres incendies,61,Dollard-des-Ormeaux,Dollard-des-Ormeaux / Roxboro,11,45.4801639174901,-73.8419330563883,4.0,Other fires
1814,2005-01-15,Feu de véhicule extérieur,Autres incendies,64,Lachine,Lachine,14,45.4544111560863,-73.7011495211962,1.0,Other fires
1859,2005-01-15,Feu de cheminée *,Autres incendies,73,Saint-Laurent,Saint-Laurent,13,45.5203368271665,-73.6864809944409,3.0,Other fires
1895,2005-01-16,Déchets en feu,Autres incendies,30,Montréal,Mont-Royal,22,45.5092168803524,-73.5768473854765,1.0,Other fires
1896,2005-01-16,Feu de bâtiment,Incendies de bâtiments,5,Montréal,Ville-Marie,18,45.5153798386975,-73.558750907578,14.0,Building fire
1900,2005-01-16,Feu de véhicule extérieur,Autres incendies,63,Dorval,Dorval / Ile Dorval,13,45.4578128960679,-73.7595168945642,1.0,Other fires
1916,2005-01-16,Feu de véhicule extérieur,Autres incendies,28,Anjou,Anjou,25,45.6100729457483,-73.5853982754868,1.0,Other fires
1940,2005-01-16,Feu de bâtiment,Incendies de bâtiments,71,Saint-Laurent,Saint-Laurent,13,45.4853953477908,-73.7240393971454,11.0,Building fire
1978,2005-01-16,Feu de cheminée *,Autres incendies,22,Saint-Léonard,Saint-Léonard,20,45.5886394207579,-73.5804236605387,6.0,Other fires
2004,2005-01-16,10-22 avec feu,Incendies de bâtiments,26,Montréal,Mont-Royal,22,45.5345648372074,-73.5802028608716,7.0,Building fire
2019,2005-01-16,10-22 avec feu,Incendies de bâtiments,63,Dorval,Dorval / Ile Dorval,13,45.4459742486484,-73.7239360691894,4.0,Building fire
2033,2005-01-17,10-22 avec feu,Incendies de bâtiments,72,Saint-Laurent,Saint-Laurent,13,45.4911188248308,-73.7187807877175,4.0,Building fire
2038,2005-01-17,10-22 avec feu,Incendies de bâtiments,19,Montréal,Ville-Marie,18,45.5217308888597,-73.5551970969378,3.0,Building fire
2044,2005-01-17,Feu de cheminée *,Autres incendies,46,Montréal,Côte-des-Neiges / Notre-Dame-de-Grâce,17,45.4709426047473,-73.6314777858603,2.0,Other fires
2046,2005-01-17,Feu / 2e Alerte,Incendies de bâtiments,42,Montréal,Ahuntsic / Cartierville,21,45.5303019163253,-73.7226593023891,31.0,Building fire
2066,2005-01-17,Feu de cheminée *,Autres incendies,50,Montréal,Rosemont / Petite-Patrie,22,45.5662355258267,-73.5862163519315,4.0,Other fires
2069,2005-01-17,Feu de véhicule extérieur,Autres incendies,26,Montréal,Mont-Royal,22,45.5342446858748,-73.5774113651788,1.0,Other fires
2071,2005-01-17,10-22 avec feu,Incendies de bâtiments,26,Montréal,Mont-Royal,22,45.5373685644507,-73.5869122237479,4.0,Building fire
2076,2005-01-17,Déchets en feu,Autres incendies,18,Montréal-Nord,Montréal-Nord,21,45.6154983761467,-73.6354219342537,1.0,Other fires
